organization,address,address2,city,county,state,zip
Columbia Gorge Family Medicine,1750 12th St,,Hood River,Hood River,OR,97031
None,275 Solar Peak Dr,,Eugene,Lane,OR,97405
Mosaic Medical,1250 SW Veterans Way Ste 120,,Redmond,Deschutes,OR,97756
Northwest Medical Homes,2644 Suzanne Way,,Eugene,Lane,OR,97408
Sundstrom Clinical Services,"21900 Willamette Dr, 202",s,West Linn,Clackamas,OR,97068
SELF,11131 SE 190TH COURT,,Damascus,Clackamas,OR,97089
Self Employed,2211 Commercial St.,,North Bend,Coos,OR,97459
Confederated Tribes of Grand Ronde,9605 Grand Ronde Road,,Grand Ronde,Polk,OR,97347
The Ren Clinic,4424 NE Glisan St,,Portland,Multnomah,OR,97213
Holistic Access Project,3537 N Williams Ave,,Portland,Multnomah,OR,97227
Juniper Canyon Living,2855 NW. 7th St.,,Redmond,Deschutes,OR,97756
Camas Periodontics,12934 SW HILLSIDE TER,,Tigard,Washington,OR,97223
Peace Health Medical Group Barger Clinic,4010 Aerial Way,,Eugene,Lane,OR,97402
"Symmetry Care, INC.",348 W. Adams,,Burns,Harney,OR,97720
PPMC,4805 NE Glisan St,,Portland,Multnomah,OR,97213
BestCare Treatment Center,340 NW 5th St #202,,Redmond,Deschutes,OR,97756
Outside In,16144 E Burnside,,Portland,Multnomah,OR,97233
OHSU,700 SW Campus Drive,,Portland,Multnomah,OR,97239
Amenda Clinic,314 NE 19th Ave,,Portland,Multnomah,OR,97232
Umatilla County Public Health,180 NE 2nd St,,Hermiston,Umatilla,OR,97838
Synergy Women's Health Care,"2701 NW Vaughn St, Suite 205",,Portland,Multnomah,OR,97210
Portland State University Student Health and Counseling,1880 SW 6th Ave ,Suite 200,Portland,Multnomah,OR,97201
Virginia Garcia Memorial Health Center,2725 SW Cedar Hills Blvd,Suite 200,Beaverton,Washington,OR,97005
Oasis Center Rogue Valley,1025 East Main St ,suite 108,Medford,Jackson,OR,97504
Baker County Health Department,2200 4th Street,,Baker City,Baker,OR,97814
David Douglas High School,1001 SE 135th Ave.,,Portland,Multnomah,OR,97233
CODA/Mult. Co. Health Dept.,1030 NE Couch St.,,Portland,Multnomah,OR,97232
OHSU Health Hillsboro Medical Center,1825 Maple St,,Forest Grove,Washington,OR,97116
MFS,1010 SE Stark St,,Portland,Multnomah,OR,97212
"Northwest Integrative Medicine, PC","19365 SW 65th Ave, STE 209",,Tualatin,Washington,OR,97062
Best Care,19482 Brookside Way,,Bend,Deschutes,OR,97702
OHSU,3181 SW Sam Jackson Park Rd,,Portland,Multnomah,OR,97239
ReConnections Counseling ,520 NW 4th Street,,Corvallis,Benton,OR,97321
Multnomah CountyCorrections Health- Transition Services,MCDC 1120 SW 3rd,,Portland,Multnomah,OR,97209
1967,"500 SE Cass Avenue, Suite 200",,Roseburg,Douglas,OR,97470
Grand Ronde Health and Wellness Clinic,9615 Grand Ronde Rd,,grand ronde,Polk,OR,97347
Northwest Regional Telehealth Resource Center,101 Wasatch Dr,,Salt Lake City,Utah,UT,84112
Salem CLinic,1712,Gemma St Nw,Salem,Polk,OR,97304
Indian Health Service,2 Renaissance Square,40 North Central Ave; Ste 504,Phoenix,Maricopa,AZ,85004
Trillium Family Services,3415 SE Powell Blvd,,Portland,Multnomah,OR,97202
Southern Oregon University Student Health Center,1250 Siskiyou Blvd,,Ashland,Jackson,OR,97520
OHSU,3181 SW Sam Jackson Park Rd,,Portland,Multnomah,OR,97206
CHI St. Anthony,3001 St. Anthony Way,,Pendleton,Umatilla,OR,97801
Community Counseling solutions ,331 SE second Street,,Pendleton,Umatilla,OR,97801
Oregon Health & Science University,3181 SW Sam Jackson Park Road,,Portland,Multnomah,OR,97239
Providence Portland Medical Center,4805 NE Glisan Street,Inpatient Psychiatric (5L/6E),Portland,Multnomah,OR,97213
One Community Health,249 Pacific Ave,,Hood River,Hood River,OR,97031
Mercy Medical Group,2417 Ione Street,,Sacramento,Sacramento,CA,95864
Providence Medical Group,"870 South Front Street, 200A",,Central Point,Jackson,OR,97502
OHSU,555 12212,,Portland,Multnomah,OR,97239
Columbia Memorial hospital-Primary Care,"1639 SE Ensign Lane, Suite B103",,Warrenton,Clatsop,OR,97146
Community Counseling Solutions,299 N. Columbia,,Milton-Freewater,Umatilla,OR,97862
Umatilla County Health Department,200 SE 3rd Street,,Pendleton,Umatilla,OR,97801
Southern Coos Hospital,900 11th street SE,900 11th street SE,Bandon,Coos,OR,97411
